threshold,smooth_window,cost_bps,CAGR,Volatility,Sharpe,MaxDD,Score
0.25,2,3,0.044753008859900634,0.16155203793334827,0.022123417686741597,-0.24186586013568356,-0.46160830258462554
0.3,2,3,0.03632164671434435,0.1581005254106738,0.019159170911278882,-0.24092074636205796,-0.462682321812837
0.2,2,3,0.038285205840984604,0.16416032783303836,0.019551213021025898,-0.24186586013568356,-0.4641805072503412
0.25,2,5,0.03863234654690384,0.16174094187256996,0.019820757084396668,-0.2433949957482614,-0.4669692344121261
0.3,2,5,0.0303186488121161,0.15829109909535363,0.016835948361074552,-0.24214848908123954,-0.4674610298014045
0.2,2,5,0.03172406390143845,0.1643529846527363,0.017110432851289183,-0.2433949957482615,-0.46967955864523386
0.25,2,7,0.03254632208323427,0.16193601228703805,0.017522801664042267,-0.24492135505084456,-0.4723199084376469
0.3,4,3,0.06676243741924193,0.15913213134634524,0.030557828330742012,-0.25182488232287203,-0.47309193631500207
0.3,4,5,0.06270757343468492,0.1592020518083771,0.02904152543866061,-0.2527292396530211,-0.47641695386738153
0.3,4,7,0.05866731366006417,0.15927635439027535,0.02752579653242534,-0.253632685868996,-0.4797395752055667
0.15,2,3,0.03366213836714049,0.16682104444412726,0.017720006429420933,-0.2497758856501977,-0.48183176487097445
0.3,2,7,0.02434922727902089,0.15848790524853063,0.01451774221925658,-0.250912352830014,-0.48730696344077146
0.25,4,3,0.06954472084907248,0.1612764304218392,0.03130321265182419,-0.2606362741731004,-0.4899693356943767
0.25,4,5,0.06519787272295607,0.16134581395692277,0.02970367844390719,-0.26152618308185127,-0.49334868771979534
0.2,4,3,0.05334664239958209,0.16294828700558814,0.02518598233410169,-0.26063627417309987,-0.49608656601209805
0.15,4,3,0.05323698720350345,0.16447817540191598,0.02500778332706077,-0.26063627417309987,-0.49626476501913896
0.25,4,7,0.06086782464667784,0.1614197983861722,0.02810471825778515,-0.2624151992311414,-0.4967256802044977
0.3,3,3,0.029460441997514852,0.1652477511739661,0.01623679838074729,-0.2565201981623999,-0.4968035979440525
0.2,4,5,0.04878613278119048,0.1630293362947363,0.02350167299169229,-0.26152618308185127,-0.49955069317201023
0.15,4,5,0.04846904612347247,0.16455938475636805,0.02326333936897327,-0.26152618308185127,-0.49978902679472925
0.2,4,7,0.04424445909656227,0.16311519812511788,0.021818393762905536,-0.2624151992311411,-0.5030120046993767
0.15,4,7,0.043721739272297055,0.16464556033884106,0.021519967183447987,-0.2624151992311411,-0.5033104312788342
0.3,5,3,0.07207346648949997,0.16095569395857934,0.03227008059516825,-0.2694730819919592,-0.5066760833887501
0.3,5,5,0.06821205654575113,0.1610134927219775,0.03085005143678276,-0.27035095747402804,-0.5098518635112733
0.3,5,7,0.06436378461065839,0.16107542419328316,0.02943028629243365,-0.27122795366179286,-0.5130256210311521
0.2,2,7,0.025203076646291622,0.16455212796656155,0.014674789724048645,-0.26612696413106074,-0.5175791385380728
0.25,3,3,0.03845641887090845,0.16778642213594036,0.019417585265316298,-0.2801820843491828,-0.5409465834330492
0.3,3,5,0.02432237084826605,0.16534982145903285,0.01432679577072552,-0.2779138702588957,-0.5415009447470659
0.15,2,5,0.02678893943063465,0.16702245502984528,0.015194853677418478,-0.2787575346438491,-0.5423202156102798
0.25,3,5,0.03334222674140208,0.16788470350512633,0.01755971138222215,-0.28105348950691955,-0.544547267631617
0.25,3,7,0.028252202164356754,0.16798821772276573,0.01570352228063099,-0.28192401542399015,-0.5481445085673493
0.15,3,3,0.026859750977495267,0.17080712767506148,0.015120547286321551,-0.2840905088587724,-0.5530604704312233
0.1,2,3,0.02905503935192888,0.16982480253828747,0.01593808490606004,-0.2932664520242685,-0.5705948191424769
0.25,5,3,0.0596270333070279,0.163495552782542,0.02742767408646541,-0.30241733136851945,-0.5774069886505735
0.15,5,3,0.05696433002904544,0.16696154279507963,0.02612556633728319,-0.30241733136851945,-0.5787090963997557
0.2,5,3,0.054240387621744324,0.16524281762671067,0.025303719522796544,-0.30241733136851945,-0.5795309432142424
0.25,5,5,0.055601384388864084,0.1635509198408416,0.02595546895321859,-0.30326048444117004,-0.5805654999291215
0.15,5,5,0.052669052059774124,0.16702455479258269,0.024583562853928886,-0.30326048444117004,-0.5819374060284112
0.2,5,5,0.049887437491770825,0.1653030518532445,0.023721223343910185,-0.30326048444117004,-0.58279974553843
0.25,5,7,0.051590226921143234,0.16361056407394378,0.024483620179208826,-0.30410278812052927,-0.5837219560618497
0.15,5,7,0.04839037310720995,0.16709201654359626,0.02304210876953143,-0.30410278812052927,-0.5851634674715271
0.3,3,7,0.019208920446410538,0.16545726424496737,0.01241874653392802,-0.2990471153387111,-0.5856754841434941
0.2,5,7,0.04555159333528902,0.16536785125015213,0.02213926882898458,-0.30410278812052927,-0.586066307412074
0.15,3,5,0.021394735268361442,0.1709197105234088,0.01315079790516158,-0.305667320844731,-0.5981838437843005
0.15,2,7,0.019960074829290075,0.1672305213199521,0.01267527920860381,-0.30662509577209596,-0.6005749123355881
0.2,3,3,0.020490099820889895,0.16969623069908102,0.012839509982514267,-0.3095210891349699,-0.6062026682874255
0.1,2,5,0.022213340356117772,0.17001681225803733,0.013460397689646587,-0.31085622448790906,-0.6082520512861715
0.1,4,3,0.03637605183458881,0.16672795263475285,0.018713597589501793,-0.3216794371996705,-0.6246452768098393
0.1,4,5,0.03147510872962567,0.16683459504581108,0.016918330535147328,-0.3225001515027387,-0.62808197247033
0.1,4,7,0.026596364772780268,0.16694630059612964,0.015124898400385571,-0.32332003816869714,-0.6315151779370087
0.15,3,7,0.01595771630933185,0.17103778483398188,0.011183282648388101,-0.32761525815526893,-0.6440472336621498
0.2,3,5,0.015328753543881746,0.1698001087231555,0.01095696633744861,-0.33026605732057246,-0.6495751483036963
0.1,5,3,0.030695451466549617,0.16889712821718803,0.01656009455955358,-0.33578661684839606,-0.6550131391372386
0.1,5,5,0.026367043882898678,0.16898170547124344,0.014988155270071435,-0.33659026257836144,-0.6581923698866514
0.1,5,7,0.022055950160941196,0.16907079233698794,0.013417430848574729,-0.3373930978837647,-0.6613687649189547
0.1,2,7,0.015415766916236917,0.17021538269375236,0.010987877019277588,-0.3380123027987161,-0.6650367285781545
0.1,3,3,0.013880514121757503,0.1725622665291286,0.010432973015614636,-0.34431258359933337,-0.6781921941830521
0.2,3,7,0.01019248364734393,0.16990927858711866,0.009076441943121061,-0.35039173505195287,-0.6917070281607847
0.1,3,5,0.008480899636687855,0.1726930167922011,0.008485408487741557,-0.3650488578559056,-0.7216123072240695
0.1,3,7,0.0031089656971294843,0.17282917601673004,0.00654058612536203,-0.38513331219314006,-0.7637260382609181
