threshold,window,train_cagr,train_sharpe,train_max_dd,score
0.3,4,0.1410010106817854,0.7344684670397728,-0.2527292396530211,0.35537460756024114
0.3,5,0.1477139696589882,0.7598199141792464,-0.27035095747402804,0.3542934779682044
0.15,4,0.14060756186676193,0.7243977429652982,-0.26152618308185127,0.33210846834252133
0.2,4,0.13734800016258308,0.7133796542555397,-0.26152618308185127,0.3210903796327628
0.15,5,0.14958505577620218,0.7555388389358383,-0.30326048444117004,0.3006481122740832
0.25,4,0.12894037216596654,0.6797118506715344,-0.26152618308185127,0.2874225760487575
0.25,5,0.12612276502448427,0.6631933510686484,-0.30326048444117004,0.20830262440689334
0.2,5,0.1266563330269983,0.6630358854840676,-0.30326048444117004,0.2081451588223125
0.25,2,0.09844719053485229,0.5491858816620371,-0.2433949957482614,0.18409338803964498
0.15,3,0.10618674402367367,0.5678341603622242,-0.2810534895069199,0.1462539261018444
0.15,2,0.09095086032840616,0.5102494640494011,-0.2433949957482615,0.1451569704270088
0.3,3,0.09456636293444132,0.5260299767748036,-0.25741888002540736,0.13990165673669253
0.25,3,0.09940004910873412,0.5426346718339634,-0.28105348950691955,0.12105443757358408
0.2,2,0.08380873406126477,0.4826686206434317,-0.2433949957482615,0.11757612702103942
0.1,4,0.11232648783404575,0.6007061051134447,-0.3225001515027387,0.11695587785933664
0.1,2,0.09899703783624969,0.54025319585895,-0.2949793393579261,0.09778418682206091
0.2,3,0.09287558107720573,0.5140286539321621,-0.2810534895069199,0.0924484196717823
0.1,5,0.09344141417936935,0.5197549593575359,-0.33659026257836144,0.014869565489993741
0.3,2,0.05841885301980998,0.37600678622744055,-0.24214848908123954,0.012784052605581242
0.1,3,0.08083243276129015,0.4603711630764827,-0.3022290543540931,0.0070275815453430535
